id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
subject_beteens_bskill_u8_7,Basic-CONVERSATION-U8,Skill,BT-S-150,level_beteens_basic_unit8,80,core,regular,False,bskills,8,7,1,0,B-skill 7 de la Unidad 8 - BETEENS,subject_beteens_bcheck_unit8,True
subject_beteens_bskill_u9_5,Intermediate-CULTURE-U9,Skill,BT-S-151,level_beteens_intermediate_unit9,60,core,regular,False,bskills,9,5,1,0,B-skill 5 de la Unidad 9 - BETEENS,subject_beteens_bcheck_unit9,True
subject_beteens_bskill_u9_6,Intermediate-READ-AND-WRITE-U9,Skill,BT-S-152,level_beteens_intermediate_unit9,70,core,regular,False,bskills,9,6,1,0,B-skill 6 de la Unidad 9 - BETEENS,subject_beteens_bcheck_unit9,True
subject_beteens_bskill_u9_7,Intermediate-CONVERSATION-U9,Skill,BT-S-153,level_beteens_intermediate_unit9,80,core,regular,False,bskills,9,7,1,0,B-skill 7 de la Unidad 9 - BETEENS,subject_beteens_bcheck_unit9,True
subject_beteens_bskill_u10_5,Intermediate-CULTURE-U10,Skill,BT-S-154,level_beteens_intermediate_unit10,60,core,regular,False,bskills,10,5,1,0,B-skill 5 de la Unidad 10 - BETEENS,subject_beteens_bcheck_unit10,True
subject_beteens_bskill_u10_6,Intermediate-READ-AND-WRITE-U10,Skill,BT-S-155,level_beteens_intermediate_unit10,70,core,regular,False,bskills,10,6,1,0,B-skill 6 de la Unidad 10 - BETEENS,subject_beteens_bcheck_unit10,True
subject_beteens_bskill_u10_7,Intermediate-CONVERSATION-U10,Skill,BT-S-156,level_beteens_intermediate_unit10,80,core,regular,False,bskills,10,7,1,0,B-skill 7 de la Unidad 10 - BETEENS,subject_beteens_bcheck_unit10,True
subject_beteens_bskill_u11_5,Intermediate-CULTURE-U11,Skill,BT-S-157,level_beteens_intermediate_unit11,60,core,regular,False,bskills,11,5,1,0,B-skill 5 de la Unidad 11 - BETEENS,subject_beteens_bcheck_unit11,True
subject_beteens_bskill_u11_6,Intermediate-READ-AND-WRITE-U11,Skill,BT-S-158,level_beteens_intermediate_unit11,70,core,regular,False,bskills,11,6,1,0,B-skill 6 de la Unidad 11 - BETEENS,subject_beteens_bcheck_unit11,True
subject_beteens_bskill_u11_7,Intermediate-CONVERSATION-U11,Skill,BT-S-159,level_beteens_intermediate_unit11,80,core,regular,False,bskills,11,7,1,0,B-skill 7 de la Unidad 11 - BETEENS,subject_beteens_bcheck_unit11,True
subject_beteens_bskill_u12_5,Intermediate-CULTURE-U12,Skill,BT-S-160,level_beteens_intermediate_unit12,60,core,regular,False,bskills,12,5,1,0,B-skill 5 de la Unidad 12 - BETEENS,subject_beteens_bcheck_unit12,True
subject_beteens_bskill_u12_6,Intermediate-READ-AND-WRITE-U12,Skill,BT-S-161,level_beteens_intermediate_unit12,70,core,regular,False,bskills,12,6,1,0,B-skill 6 de la Unidad 12 - BETEENS,subject_beteens_bcheck_unit12,True
subject_beteens_bskill_u12_7,Intermediate-CONVERSATION-U12,Skill,BT-S-162,level_beteens_intermediate_unit12,80,core,regular,False,bskills,12,7,1,0,B-skill 7 de la Unidad 12 - BETEENS,subject_beteens_bcheck_unit12,True
subject_beteens_bskill_u13_5,Intermediate-CULTURE-U13,Skill,BT-S-163,level_beteens_intermediate_unit13,60,core,regular,False,bskills,13,5,1,0,B-skill 5 de la Unidad 13 - BETEENS,subject_beteens_bcheck_unit13,True
subject_beteens_bskill_u13_6,Intermediate-READ-AND-WRITE-U13,Skill,BT-S-164,level_beteens_intermediate_unit13,70,core,regular,False,bskills,13,6,1,0,B-skill 6 de la Unidad 13 - BETEENS,subject_beteens_bcheck_unit13,True
subject_beteens_bskill_u13_7,Intermediate-CONVERSATION-U13,Skill,BT-S-165,level_beteens_intermediate_unit13,80,core,regular,False,bskills,13,7,1,0,B-skill 7 de la Unidad 13 - BETEENS,subject_beteens_bcheck_unit13,True
subject_beteens_bskill_u14_5,Intermediate-CULTURE-U14,Skill,BT-S-166,level_beteens_intermediate_unit14,60,core,regular,False,bskills,14,5,1,0,B-skill 5 de la Unidad 14 - BETEENS,subject_beteens_bcheck_unit14,True
subject_beteens_bskill_u14_6,Intermediate-READ-AND-WRITE-U14,Skill,BT-S-167,level_beteens_intermediate_unit14,70,core,regular,False,bskills,14,6,1,0,B-skill 6 de la Unidad 14 - BETEENS,subject_beteens_bcheck_unit14,True
subject_beteens_bskill_u14_7,Intermediate-CONVERSATION-U14,Skill,BT-S-168,level_beteens_intermediate_unit14,80,core,regular,False,bskills,14,7,1,0,B-skill 7 de la Unidad 14 - BETEENS,subject_beteens_bcheck_unit14,True
subject_beteens_bskill_u15_5,Intermediate-CULTURE-U15,Skill,BT-S-169,level_beteens_intermediate_unit15,60,core,regular,False,bskills,15,5,1,0,B-skill 5 de la Unidad 15 - BETEENS,subject_beteens_bcheck_unit15,True
subject_beteens_bskill_u15_6,Intermediate-READ-AND-WRITE-U15,Skill,BT-S-170,level_beteens_intermediate_unit15,70,core,regular,False,bskills,15,6,1,0,B-skill 6 de la Unidad 15 - BETEENS,subject_beteens_bcheck_unit15,True
subject_beteens_bskill_u15_7,Intermediate-CONVERSATION-U15,Skill,BT-S-171,level_beteens_intermediate_unit15,80,core,regular,False,bskills,15,7,1,0,B-skill 7 de la Unidad 15 - BETEENS,subject_beteens_bcheck_unit15,True
subject_beteens_bskill_u16_5,Intermediate-CULTURE-U16,Skill,BT-S-172,level_beteens_intermediate_unit16,60,core,regular,False,bskills,16,5,1,0,B-skill 5 de la Unidad 16 - BETEENS,subject_beteens_bcheck_unit16,True
subject_beteens_bskill_u16_6,Intermediate-READ-AND-WRITE-U16,Skill,BT-S-173,level_beteens_intermediate_unit16,70,core,regular,False,bskills,16,6,1,0,B-skill 6 de la Unidad 16 - BETEENS,subject_beteens_bcheck_unit16,True
subject_beteens_bskill_u16_7,Intermediate-CONVERSATION-U16,Skill,BT-S-174,level_beteens_intermediate_unit16,80,core,regular,False,bskills,16,7,1,0,B-skill 7 de la Unidad 16 - BETEENS,subject_beteens_bcheck_unit16,True
subject_beteens_bskill_u17_5,Advanced-CULTURE-U17,Skill,BT-S-175,level_beteens_advanced_unit17,60,core,regular,False,bskills,17,5,1,0,B-skill 5 de la Unidad 17 - BETEENS,subject_beteens_bcheck_unit17,True
subject_beteens_bskill_u17_6,Advanced-READ-AND-WRITE-U17,Skill,BT-S-176,level_beteens_advanced_unit17,70,core,regular,False,bskills,17,6,1,0,B-skill 6 de la Unidad 17 - BETEENS,subject_beteens_bcheck_unit17,True
subject_beteens_bskill_u17_7,Advanced-CONVERSATION-U17,Skill,BT-S-177,level_beteens_advanced_unit17,80,core,regular,False,bskills,17,7,1,0,B-skill 7 de la Unidad 17 - BETEENS,subject_beteens_bcheck_unit17,True
subject_beteens_bskill_u18_5,Advanced-CULTURE-U18,Skill,BT-S-178,level_beteens_advanced_unit18,60,core,regular,False,bskills,18,5,1,0,B-skill 5 de la Unidad 18 - BETEENS,subject_beteens_bcheck_unit18,True
subject_beteens_bskill_u18_6,Advanced-READ-AND-WRITE-U18,Skill,BT-S-179,level_beteens_advanced_unit18,70,core,regular,False,bskills,18,6,1,0,B-skill 6 de la Unidad 18 - BETEENS,subject_beteens_bcheck_unit18,True
subject_beteens_bskill_u18_7,Advanced-CONVERSATION-U18,Skill,BT-S-180,level_beteens_advanced_unit18,80,core,regular,False,bskills,18,7,1,0,B-skill 7 de la Unidad 18 - BETEENS,subject_beteens_bcheck_unit18,True
subject_beteens_bskill_u19_5,Advanced-CULTURE-U19,Skill,BT-S-181,level_beteens_advanced_unit19,60,core,regular,False,bskills,19,5,1,0,B-skill 5 de la Unidad 19 - BETEENS,subject_beteens_bcheck_unit19,True
