id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
benglish_academy.subject_benglish_bskill_u7_7,Basic-CONVERSATION-U7,Skill,BE-S-147,benglish_academy.level_benglish_basic_unit7,26,core,regular,False,bskills,7,7,1,0,B-skill 7 de la Unidad 7,benglish_academy.subject_benglish_bcheck_unit7,True
benglish_academy.subject_benglish_bskill_u8_5,Basic-CULTURE-U8,Skill,BE-S-148,benglish_academy.level_benglish_basic_unit8,24,core,regular,False,bskills,8,5,1,0,B-skill 5 de la Unidad 8,benglish_academy.subject_benglish_bcheck_unit8,True
benglish_academy.subject_benglish_bskill_u8_6,Basic-READ-AND-WRITE-U8,Skill,BE-S-149,benglish_academy.level_benglish_basic_unit8,25,core,regular,False,bskills,8,6,1,0,B-skill 6 de la Unidad 8,benglish_academy.subject_benglish_bcheck_unit8,True
benglish_academy.subject_benglish_bskill_u8_7,Basic-CONVERSATION-U8,Skill,BE-S-150,benglish_academy.level_benglish_basic_unit8,26,core,regular,False,bskills,8,7,1,0,B-skill 7 de la Unidad 8,benglish_academy.subject_benglish_bcheck_unit8,True
benglish_academy.subject_benglish_bskill_u9_5,Intermediate-CULTURE-U9,Skill,BE-S-151,benglish_academy.level_benglish_intermediate_unit9,24,core,regular,False,bskills,9,5,1,0,B-skill 5 de la Unidad 9,benglish_academy.subject_benglish_bcheck_unit9,True
benglish_academy.subject_benglish_bskill_u9_6,Intermediate-READ-AND-WRITE-U9,Skill,BE-S-152,benglish_academy.level_benglish_intermediate_unit9,25,core,regular,False,bskills,9,6,1,0,B-skill 6 de la Unidad 9,benglish_academy.subject_benglish_bcheck_unit9,True
benglish_academy.subject_benglish_bskill_u9_7,Intermediate-CONVERSATION-U9,Skill,BE-S-153,benglish_academy.level_benglish_intermediate_unit9,26,core,regular,False,bskills,9,7,1,0,B-skill 7 de la Unidad 9,benglish_academy.subject_benglish_bcheck_unit9,True
benglish_academy.subject_benglish_bskill_u10_5,Intermediate-CULTURE-U10,Skill,BE-S-154,benglish_academy.level_benglish_intermediate_unit10,24,core,regular,False,bskills,10,5,1,0,B-skill 5 de la Unidad 10,benglish_academy.subject_benglish_bcheck_unit10,True
benglish_academy.subject_benglish_bskill_u10_6,Intermediate-READ-AND-WRITE-U10,Skill,BE-S-155,benglish_academy.level_benglish_intermediate_unit10,25,core,regular,False,bskills,10,6,1,0,B-skill 6 de la Unidad 10,benglish_academy.subject_benglish_bcheck_unit10,True
benglish_academy.subject_benglish_bskill_u10_7,Intermediate-CONVERSATION-U10,Skill,BE-S-156,benglish_academy.level_benglish_intermediate_unit10,26,core,regular,False,bskills,10,7,1,0,B-skill 7 de la Unidad 10,benglish_academy.subject_benglish_bcheck_unit10,True
benglish_academy.subject_benglish_bskill_u11_5,Intermediate-CULTURE-U11,Skill,BE-S-157,benglish_academy.level_benglish_intermediate_unit11,24,core,regular,False,bskills,11,5,1,0,B-skill 5 de la Unidad 11,benglish_academy.subject_benglish_bcheck_unit11,True
